host_time_s,t_s,left_ticks,right_ticks,left_rad_s,right_rad_s,battery_v,range_m,flags,left_cmd,right_cmd
2.5000,2.500,6150,6150,8.015,8.015,12.239,,8,8.0,8.0
2.5200,2.520,6213,6213,8.024,8.024,12.239,,8,8.0,8.0
2.5400,2.540,6276,6276,8.028,8.028,12.239,,8,8.0,8.0
2.5600,2.560,6338,6338,7.967,7.967,12.239,,8,8.0,8.0
2.5800,2.580,6401,6401,8.000,8.000,12.239,,8,8.0,8.0
2.6000,2.600,6464,6464,8.016,8.016,12.239,,8,8.0,8.0
2.6200,2.620,6526,6526,7.960,7.960,12.239,,8,8.0,8.0
2.6400,2.640,6589,6589,7.996,7.996,12.239,,8,8.0,8.0
2.6600,2.660,6652,6652,8.014,8.014,12.239,,8,8.0,8.0
2.6800,2.680,6715,6715,8.023,8.023,12.239,,8,8.0,8.0
2.7000,2.700,6777,6777,7.964,7.964,12.239,,8,8.0,8.0
2.7200,2.720,6840,6840,7.998,7.998,12.239,,8,8.0,8.0
2.7400,2.740,6903,6903,8.015,8.015,12.239,,8,8.0,8.0
2.7600,2.760,6966,6966,8.024,8.024,12.239,,8,8.0,8.0
2.7800,2.780,7028,7028,7.964,7.964,12.239,,8,8.0,8.0
2.8000,2.800,7091,7091,7.998,7.998,12.239,,8,8.0,8.0
2.8200,2.820,7154,7154,8.015,8.015,12.239,,8,8.0,8.0
2.8400,2.840,7217,7217,8.024,8.024,12.239,,8,8.0,8.0
2.8600,2.860,7279,7279,7.964,7.964,12.239,,8,8.0,8.0
2.8800,2.880,7342,7342,7.998,7.998,12.239,,8,8.0,8.0
2.9000,2.900,7405,7405,8.015,8.015,12.239,,8,8.0,8.0
2.9200,2.920,7468,7468,8.024,8.024,12.239,,8,8.0,8.0
2.9400,2.940,7530,7530,7.964,7.964,12.239,,8,8.0,8.0
2.9600,2.960,7593,7593,7.998,7.998,12.239,,8,8.0,8.0
2.9800,2.980,7656,7656,8.015,8.015,12.239,3.996,8,8.0,8.0
3.0000,3.000,7719,7719,8.024,8.024,12.239,3.989,8,8.0,8.0
3.0200,3.020,7781,7781,7.964,7.964,12.239,3.982,8,8.0,8.0
3.0400,3.040,7844,7844,7.998,7.998,12.239,3.975,8,8.0,8.0
3.0600,3.060,7907,7907,8.015,8.015,12.239,3.968,8,8.0,8.0
3.0800,3.080,7969,7969,7.960,7.960,12.239,3.960,8,8.0,8.0
3.1000,3.100,8032,8032,7.996,7.996,12.239,3.953,8,8.0,8.0
3.1200,3.120,8095,8095,8.014,8.014,12.239,3.946,8,8.0,8.0
3.1400,3.140,8158,8158,8.023,8.023,12.239,3.939,8,8.0,8.0
3.1600,3.160,8221,8221,8.028,8.028,12.239,3.932,8,8.0,8.0
3.1800,3.180,8283,8283,7.966,7.966,12.239,3.924,8,8.0,8.0
3.2000,3.200,8346,8346,7.999,7.999,12.239,3.917,8,8.0,8.0
3.2200,3.220,8409,8409,8.016,8.016,12.239,3.910,8,8.0,8.0
3.2400,3.240,8471,8471,7.960,7.960,12.239,3.903,8,8.0,8.0
3.2600,3.260,8534,8534,7.996,7.996,12.239,3.896,8,8.0,8.0
3.2800,3.280,8597,8597,8.014,8.014,12.239,3.888,8,8.0,8.0
3.3000,3.300,8660,8660,8.023,8.023,12.239,3.881,8,8.0,8.0
3.3200,3.320,8723,8723,8.028,8.028,12.239,3.874,8,8.0,8.0
3.3400,3.340,8785,8785,7.966,7.966,12.239,3.867,8,8.0,8.0
3.3600,3.360,8848,8848,7.999,7.999,12.239,3.860,8,8.0,8.0
3.3800,3.380,8911,8911,8.016,8.016,12.239,3.852,8,8.0,8.0
3.4000,3.400,8973,8973,7.960,7.960,12.239,3.845,8,8.0,8.0
3.4200,3.420,9036,9036,7.996,7.996,12.239,3.838,8,8.0,8.0
3.4400,3.440,9099,9099,8.014,8.014,12.239,3.831,8,8.0,8.0
3.4600,3.460,9162,9162,8.023,8.023,12.239,3.824,8,8.0,8.0
3.4800,3.480,9224,9224,7.964,7.964,12.239,3.816,8,8.0,8.0
3.5000,3.500,9287,9287,7.998,7.998,12.239,3.809,8,8.0,8.0
3.5200,3.520,9350,9350,8.015,8.015,12.239,3.802,8,8.0,8.0
3.5400,3.540,9413,9413,8.024,8.024,12.239,3.795,8,8.0,8.0
3.5600,3.560,9475,9475,7.964,7.964,12.239,3.788,8,8.0,8.0
3.5800,3.580,9538,9538,7.998,7.998,12.239,3.780,8,8.0,8.0
3.6000,3.600,9601,9601,8.015,8.015,12.239,3.773,8,8.0,8.0
3.6200,3.620,9664,9664,8.024,8.024,12.239,3.766,8,8.0,8.0
3.6400,3.640,9726,9726,7.964,7.964,12.239,3.759,8,8.0,8.0
3.6600,3.660,9789,9789,7.998,7.998,12.239,3.752,8,8.0,8.0
3.6800,3.680,9852,9852,8.015,8.015,12.239,3.744,8,8.0,8.0
3.7000,3.700,9915,9915,8.024,8.024,12.239,3.737,8,8.0,8.0
3.7200,3.720,9977,9977,7.964,7.964,12.239,3.730,8,8.0,8.0
3.7400,3.740,10040,10040,7.998,7.998,12.239,3.723,8,8.0,8.0
3.7600,3.760,10103,10103,8.015,8.015,12.239,3.716,8,8.0,8.0
3.7800,3.780,10166,10166,8.024,8.024,12.239,3.708,8,8.0,8.0
3.8000,3.800,10228,10228,7.964,7.964,12.239,3.701,8,8.0,8.0
3.8200,3.820,10291,10291,7.998,7.998,12.239,3.694,8,8.0,8.0
3.8400,3.840,10354,10354,8.015,8.015,12.239,3.687,8,8.0,8.0
3.8600,3.860,10417,10417,8.024,8.024,12.239,3.680,8,8.0,8.0
3.8800,3.880,10479,10479,7.964,7.964,12.239,3.672,8,8.0,8.0
3.9000,3.900,10542,10542,7.998,7.998,12.239,3.665,8,8.0,8.0
3.9200,3.920,10605,10605,8.015,8.015,12.239,3.658,8,8.0,8.0
3.9400,3.940,10668,10668,8.024,8.024,12.239,3.651,8,8.0,8.0
3.9600,3.960,10730,10730,7.964,7.964,12.239,3.644,8,8.0,8.0
3.9800,3.980,10793,10793,7.998,7.998,12.239,3.636,8,8.0,8.0
4.0000,4.000,10856,10856,8.015,8.015,12.239,3.629,8,8.0,8.0
4.0200,4.020,10913,10901,7.641,6.876,12.239,3.623,8,4.0,-4.0
4.0400,4.040,10959,10914,6.753,4.267,12.239,3.621,8,4.0,-4.0
4.0600,4.060,10996,10900,5.735,1.241,12.239,3.624,8,4.0,-4.0
4.0800,4.080,11027,10867,4.844,-1.483,12.239,3.620,8,4.0,-4.0
4.1000,4.100,11053,10821,4.079,-3.674,12.238,3.621,8,4.0,-4.0
4.1200,4.120,11076,10764,3.506,-5.471,12.238,3.629,8,4.0,-4.0
4.1400,4.140,11098,10703,3.155,-6.624,12.238,3.307,8,4.0,-4.0
4.1600,4.160,11118,10638,2.853,-7.456,12.238,3.004,8,4.0,-4.0
4.1800,4.180,11138,10573,2.701,-7.872,12.238,2.756,8,4.0,-4.0
4.2000,4.200,11158,10508,2.626,-8.080,12.238,2.552,8,4.0,-4.0
4.2200,4.220,11179,10445,2.652,-8.056,12.238,2.382,8,4.0,-4.0
4.2400,4.240,11201,10385,2.728,-7.853,12.238,2.240,8,4.0,-4.0
4.2600,4.260,11223,10327,2.767,-7.624,12.238,2.121,8,4.0,-4.0
4.2800,4.280,11247,10272,2.913,-7.318,12.238,2.019,8,4.0,-4.0
4.3000,4.300,11271,10219,2.987,-7.038,12.238,1.932,8,4.0,-4.0
4.3200,4.320,11296,10169,3.087,-6.706,12.238,1.857,8,4.0,-4.0
4.3400,4.340,11322,10122,3.201,-6.349,12.238,1.792,8,4.0,-4.0
4.3600,4.360,11349,10077,3.322,-6.043,12.238,1.736,8,4.0,-4.0
4.3800,4.380,11377,10034,3.446,-5.763,12.238,1.686,8,4.0,-4.0
4.4000,4.400,11405,9993,3.508,-5.495,12.238,1.642,8,4.0,-4.0
4.4200,4.420,11433,9953,3.539,-5.298,12.238,1.604,8,4.0,-4.0
4.4400,4.440,11462,9914,3.618,-5.135,12.238,1.570,8,4.0,-4.0
4.4600,4.460,11492,9877,3.722,-4.926,12.238,1.540,8,4.0,-4.0
4.4800,4.480,11521,9841,3.710,-4.758,12.238,1.513,8,4.0,-4.0
4.5000,4.500,11551,9805,3.767,-4.674,12.238,1.490,8,4.0,-4.0
4.5200,4.520,11582,9770,3.860,-4.568,12.238,1.470,8,4.0,-4.0
4.5400,4.540,11612,9736,3.842,-4.452,12.238,1.452,8,4.0,-4.0
4.5600,4.560,11643,9703,3.897,-4.330,12.238,1.437,8,4.0,-4.0
4.5800,4.580,11673,9669,3.861,-4.332,12.238,1.424,8,4.0,-4.0
4.6000,4.600,11704,9637,3.907,-4.206,12.238,1.414,8,4.0,-4.0
4.6200,4.620,11735,9604,3.930,-4.207,12.238,1.405,8,4.0,-4.0
4.6400,4.640,11766,9572,3.941,-4.143,12.238,1.399,8,4.0,-4.0
4.6600,4.660,11798,9540,4.011,-4.112,12.238,1.395,8,4.0,-4.0
4.6800,4.680,11829,9508,3.982,-4.096,12.238,1.393,8,4.0,-4.0
4.7000,4.700,11860,9476,3.967,-4.088,12.238,1.392,8,4.0,-4.0
4.7200,4.720,11891,9444,3.960,-4.084,12.238,1.392,8,4.0,-4.0
4.7400,4.740,11922,9412,3.956,-4.082,12.238,1.390,8,4.0,-4.0
4.7600,4.760,11954,9381,4.018,-4.017,12.238,1.390,8,4.0,-4.0
4.7800,4.780,11985,9349,3.985,-4.049,12.238,1.392,8,4.0,-4.0
4.8000,4.800,12016,9317,3.969,-4.064,12.238,1.389,8,4.0,-4.0
4.8200,4.820,12048,9286,4.024,-4.008,12.238,1.389,8,4.0,-4.0
4.8400,4.840,12079,9255,3.988,-3.980,12.238,1.391,8,4.0,-4.0
4.8600,4.860,12110,9223,3.970,-4.030,12.238,1.390,8,4.0,-4.0
4.8800,4.880,12142,9192,4.025,-3.991,12.238,1.390,8,4.0,-4.0
4.9000,4.900,12173,9160,3.989,-4.036,12.238,1.392,8,4.0,-4.0
4.9200,4.920,12204,9129,3.971,-3.994,12.238,1.393,8,4.0,-4.0
4.9400,4.940,12236,9098,4.025,-3.973,12.238,1.392,8,4.0,-4.0
4.9600,4.960,12267,9066,3.989,-4.027,12.238,1.394,8,4.0,-4.0
4.9800,4.980,12299,9035,4.034,-3.990,12.238,1.398,8,4.0,-4.0
5.0000,5.000,12330,9003,3.993,-4.035,12.238,1.404,8,4.0,-4.0
5.0200,5.020,12361,8972,3.973,-3.994,12.238,1.411,8,4.0,-4.0
5.0400,5.040,12393,8941,4.026,-3.973,12.238,1.421,8,4.0,-4.0
5.0600,5.060,12424,8909,3.989,-4.027,12.238,1.433,8,4.0,-4.0
5.0800,5.080,12455,8878,3.971,-3.990,12.238,1.447,8,4.0,-4.0
5.1000,5.100,12487,8847,4.025,-3.971,12.238,1.464,8,4.0,-4.0
5.1200,5.120,12518,8815,3.989,-4.025,12.238,1.482,8,4.0,-4.0
5.1400,5.140,12549,8784,3.971,-3.989,12.238,1.504,8,4.0,-4.0
5.1600,5.160,12581,8753,4.025,-3.971,12.238,1.528,8,4.0,-4.0
5.1800,5.180,12612,8721,3.989,-4.025,12.238,1.555,8,4.0,-4.0
5.2000,5.200,12644,8690,4.034,-3.989,12.238,1.585,8,4.0,-4.0
5.2200,5.220,12675,8658,3.993,-4.034,12.238,1.618,8,4.0,-4.0
5.2400,5.240,12706,8627,3.973,-3.993,12.238,1.655,8,4.0,-4.0
5.2600,5.260,12738,8596,4.026,-3.973,12.238,1.696,8,4.0,-4.0
5.2800,5.280,12769,8564,3.989,-4.026,12.238,1.742,8,4.0,-4.0
5.3000,5.300,12801,8533,4.035,-3.989,12.238,1.792,8,4.0,-4.0
5.3200,5.320,12832,8502,3.994,-3.971,12.238,1.847,8,4.0,-4.0
5.3400,5.340,12863,8470,3.973,-4.025,12.238,1.908,8,4.0,-4.0
5.3600,5.360,12895,8439,4.027,-3.989,12.238,1.976,8,4.0,-4.0
5.3800,5.380,12926,8407,3.990,-4.034,12.238,2.052,8,4.0,-4.0
5.4000,5.400,12957,8376,3.971,-3.993,12.238,2.136,8,4.0,-4.0
5.4200,5.420,12989,8345,4.025,-3.973,12.238,2.181,8,4.0,-4.0
5.4400,5.440,13020,8313,3.989,-4.026,12.238,2.161,8,4.0,-4.0
5.4600,5.460,13051,8282,3.971,-3.989,12.238,2.145,8,4.0,-4.0
5.4800,5.480,13083,8251,4.025,-3.971,12.238,2.131,8,4.0,-4.0
5.5000,5.500,13114,8219,3.989,-4.025,12.238,2.121,8,4.0,-4.0
5.5200,5.520,13146,8188,4.034,-3.989,12.238,2.113,8,4.0,-4.0
5.5400,5.540,13177,8156,3.993,-4.034,12.238,2.109,8,4.0,-4.0
5.5600,5.560,13208,8125,3.973,-3.993,12.238,2.107,8,4.0,-4.0
5.5800,5.580,13240,8094,4.026,-3.973,12.238,2.108,8,4.0,-4.0
5.6000,5.600,13271,8062,3.989,-4.026,12.238,2.106,8,4.0,-4.0
5.6200,5.620,13302,8031,3.971,-3.989,12.238,2.104,8,4.0,-4.0
5.6400,5.640,13334,8000,4.025,-3.971,12.238,2.105,8,4.0,-4.0
5.6600,5.660,13365,7968,3.989,-4.025,12.238,2.106,8,4.0,-4.0
5.6800,5.680,13397,7937,4.034,-3.989,12.238,2.104,8,4.0,-4.0
5.7000,5.700,13428,7905,3.993,-4.034,12.238,2.104,8,4.0,-4.0
5.7200,5.720,13459,7874,3.973,-3.993,12.238,2.107,8,4.0,-4.0
5.7400,5.740,13491,7843,4.026,-3.973,12.238,2.105,8,4.0,-4.0
5.7600,5.760,13522,7811,3.989,-4.026,12.238,2.105,8,4.0,-4.0
5.7800,5.780,13553,7780,3.971,-3.989,12.238,2.108,8,4.0,-4.0
5.8000,5.800,13585,7749,4.025,-3.971,12.238,2.107,8,4.0,-4.0
5.8200,5.820,13616,7717,3.989,-4.025,12.238,2.107,8,4.0,-4.0
5.8400,5.840,13647,7686,3.971,-3.989,12.238,2.110,8,4.0,-4.0
5.8600,5.860,13679,7654,4.025,-4.034,12.238,2.116,8,4.0,-4.0
5.8800,5.880,13710,7623,3.989,-3.993,12.238,2.125,8,4.0,-4.0
5.9000,5.900,13742,7592,4.034,-3.973,12.238,2.137,8,4.0,-4.0
5.9200,5.920,13773,7560,3.993,-4.026,12.238,2.152,8,4.0,-4.0
5.9400,5.940,13804,7529,3.973,-3.989,12.238,2.171,8,4.0,-4.0
5.9600,5.960,13836,7498,4.026,-3.971,12.238,2.139,8,4.0,-4.0
5.9800,5.980,13867,7466,3.989,-4.025,12.238,2.052,8,4.0,-4.0
6.0000,6.000,13899,7435,4.035,-3.989,12.238,1.974,8,4.0,-4.0
6.0200,6.020,13930,7404,3.994,-3.971,12.238,1.904,8,,
6.0400,6.040,13961,7372,3.973,-4.025,12.238,1.840,8,,
6.0600,6.060,13993,7341,4.027,-3.989,12.238,1.783,8,,
6.0800,6.080,14024,7309,3.990,-4.034,12.238,1.732,8,,
6.1000,6.100,14055,7278,3.971,-3.993,12.238,1.685,8,,
6.1200,6.120,14087,7247,4.025,-3.973,12.238,1.642,8,,
6.1400,6.140,14118,7215,3.989,-4.026,12.238,1.604,8,,
6.1600,6.160,14149,7184,3.971,-3.989,12.238,1.570,8,,
6.1800,6.180,14181,7153,4.025,-3.971,12.238,1.538,8,,
6.2000,6.200,14212,7121,3.989,-4.025,12.238,1.510,8,,
6.2200,6.220,14244,7090,4.034,-3.989,12.238,1.485,8,,
6.2400,6.240,14275,7058,3.993,-4.034,12.238,1.463,8,,
6.2600,6.260,14306,7027,3.973,-3.993,12.238,1.443,8,,
6.2800,6.280,14338,6996,4.026,-3.973,12.238,1.426,8,,
6.3000,6.300,14366,6968,3.798,-3.771,12.238,1.412,1,,
6.3200,6.320,14387,6946,3.238,-3.288,12.238,1.403,1,,
6.3400,6.340,14404,6929,2.703,-2.728,12.238,1.397,1,,
6.3600,6.360,14418,6916,2.244,-2.193,12.238,1.392,1,,
6.3800,6.380,14428,6906,1.759,-1.734,12.238,1.389,1,,
6.4000,6.400,14436,6898,1.390,-1.377,12.238,1.386,1,,
6.4200,6.420,14442,6891,1.077,-1.135,12.238,1.384,1,,
6.4400,6.440,14447,6887,0.857,-0.822,12.238,1.383,1,,
6.4600,6.460,14451,6883,0.684,-0.666,12.238,1.382,1,,
6.4800,6.480,14454,6880,0.533,-0.524,12.238,1.381,1,,
6.5000,6.500,14456,6878,0.394,-0.390,12.238,1.381,1,,
6.5200,6.520,14458,6876,0.325,-0.322,12.238,1.380,1,,
6.5400,6.540,14459,6874,0.226,-0.289,12.238,1.380,1,,
6.5600,6.560,14460,6873,0.177,-0.208,12.238,1.380,1,,
6.5800,6.580,14461,6873,0.152,-0.104,12.238,1.379,1,,
6.6000,6.600,14462,6872,0.140,-0.116,12.238,1.379,1,,
6.6200,6.620,14462,6871,0.070,-0.122,12.238,1.379,1,,
6.6400,6.640,14463,6871,0.099,-0.061,12.238,1.379,1,,
6.6600,6.660,14463,6871,0.049,-0.030,12.238,1.379,1,,
6.6800,6.680,14463,6870,0.025,-0.079,12.238,1.379,1,,
6.7000,6.700,14463,6870,0.012,-0.039,12.238,1.379,1,,
6.7200,6.720,14463,6870,0.006,-0.020,12.238,1.379,1,,
6.7400,6.740,14464,6870,0.067,-0.010,12.238,1.379,1,,
6.7600,6.760,14464,6870,0.033,-0.005,12.238,1.379,1,,
6.7800,6.780,14464,6870,0.017,-0.002,12.238,1.379,1,,
6.8000,6.800,14464,6870,0.008,-0.001,12.238,1.379,1,,
6.8200,6.820,14464,6870,0.004,-0.001,12.238,1.379,1,,
6.8400,6.840,14464,6870,0.002,-0.000,12.238,1.379,1,,
6.8600,6.860,14464,6870,0.001,-0.000,12.238,1.379,1,,
6.8800,6.880,14464,6870,0.001,-0.000,12.238,1.379,1,,
6.9000,6.900,14464,6870,0.000,-0.000,12.238,1.379,1,,
6.9200,6.920,14464,6870,0.000,-0.000,12.238,1.379,1,,
6.9400,6.940,14464,6870,0.000,-0.000,12.238,1.379,1,,
6.9600,6.960,14464,6870,0.000,-0.000,12.238,1.379,1,,
6.9800,6.980,14464,6870,0.000,-0.000,12.238,1.379,1,,
7.0000,7.000,14464,6870,0.000,-0.000,12.238,1.379,1,,
