true_m,sensor,measured_m
0.200,tof,0.2205
0.200,tof,0.2218
0.200,tof,0.6722
0.200,tof,0.2215
0.200,tof,0.2207
0.200,tof,0.2255
0.200,tof,0.2172
0.200,tof,0.2183
0.200,tof,0.6904
0.200,tof,0.2210
0.200,tof,1.3215
0.200,tof,0.2203
0.200,tof,0.2189
0.200,tof,0.2208
0.200,tof,0.2204
0.200,tof,0.2207
0.200,tof,3.9346
0.500,tof,0.5283
0.500,tof,0.5305
0.500,tof,0.5246
0.500,tof,0.5276
0.500,tof,0.5273
0.500,tof,0.5251
0.500,tof,0.5251
0.500,tof,0.5212
0.500,tof,0.5331
0.500,tof,0.5278
0.500,tof,0.5221
0.500,tof,0.5314
0.500,tof,0.5272
0.500,tof,0.5338
0.500,tof,0.5268
0.500,tof,0.5291
0.500,tof,0.5284
0.500,tof,0.5297
0.500,tof,1.2991
0.500,tof,0.5289
0.500,tof,0.5320
0.500,tof,0.5299
0.500,tof,0.5277
0.500,tof,0.5267
0.500,tof,
0.500,tof,0.5295
0.500,tof,0.5252
0.500,tof,0.5335
0.500,tof,0.5218
0.500,tof,0.5263
0.500,tof,0.5364
0.500,tof,0.5328
0.500,tof,0.5289
0.500,tof,0.5270
0.500,tof,0.5301
0.500,tof,0.5320
0.500,tof,0.5248
0.500,tof,0.5245
0.500,tof,0.0799
0.500,tof,0.5281
0.500,tof,0.5279
0.500,tof,0.5196
0.500,tof,0.5262
0.500,tof,0.5210
0.500,tof,
0.500,tof,0.5295
0.500,tof,0.5248
0.500,tof,0.5276
0.500,tof,0.5289
0.500,tof,0.5299
0.500,tof,3.9256
0.500,tof,0.5332
0.500,tof,0.5248
0.500,tof,0.5300
0.500,tof,0.5307
0.500,tof,0.5278
0.500,tof,0.5302
0.500,tof,0.5298
0.500,tof,0.5240
0.500,tof,0.5224
0.500,tof,2.3166
0.500,tof,0.5262
0.500,tof,0.5291
0.500,tof,0.5297
0.500,tof,0.5279
0.500,tof,
0.500,tof,0.5280
0.500,tof,0.5281
0.500,tof,0.5313
0.500,tof,0.5320
0.500,tof,0.5291
0.500,tof,0.5333
0.500,tof,0.5339
0.500,tof,0.5313
0.500,tof,
0.500,tof,0.5344
0.500,tof,0.5236
0.500,tof,0.5273
0.500,tof,0.5246
0.500,tof,0.5292
0.500,tof,0.5179
0.500,tof,0.5323
0.500,tof,0.5294
0.500,tof,0.5329
0.500,tof,0.5263
0.500,tof,0.5258
0.500,tof,3.1848
0.500,tof,0.5302
0.500,tof,0.5249
0.500,tof,0.5282
0.500,tof,0.5279
0.500,tof,0.5310
0.500,tof,0.5272
0.500,tof,0.5321
0.500,tof,0.5271
0.500,tof,0.5320
0.500,tof,0.5287
0.500,tof,0.5322
0.500,tof,3.8288
0.500,tof,0.5238
0.500,tof,0.5237
0.500,tof,0.5178
0.500,tof,0.5310
0.500,tof,0.5294
0.500,tof,0.5277
0.500,tof,0.5252
0.500,tof,0.5230
0.500,tof,0.5322
0.500,tof,0.5258
0.500,tof,2.4328
0.500,tof,0.5247
0.500,tof,0.5308
0.500,tof,0.5330
0.500,tof,0.5289
0.500,tof,0.5258
0.500,tof,0.5258
0.500,tof,0.5286
0.500,tof,0.5316
0.500,tof,0.5239
0.500,tof,0.5276
0.500,tof,0.5244
0.500,tof,0.5316
0.500,tof,0.5282
0.500,tof,0.5276
0.500,tof,0.5290
0.500,tof,0.5299
0.500,tof,0.5278
0.500,tof,0.5219
0.500,tof,0.5288
0.500,tof,0.5255
0.500,tof,0.5279
0.500,tof,0.5370
0.500,tof,0.5271
0.500,tof,0.5257
0.500,tof,0.5293
0.500,tof,0.5310
0.500,tof,0.5361
0.500,tof,0.5300
0.500,tof,0.5252
0.500,tof,0.5230
0.500,tof,0.5312
0.500,tof,0.5303
0.500,tof,0.5314
0.500,tof,0.5338
0.500,tof,0.5216
0.500,tof,0.5266
0.500,tof,0.5324
0.500,tof,0.5308
0.500,tof,0.5293
0.500,tof,0.5286
1.000,tof,1.0373
1.000,tof,1.0384
1.000,tof,1.0399
1.000,tof,1.0455
1.000,tof,1.0423
1.000,tof,1.0434
1.000,tof,
1.000,tof,1.0323
1.000,tof,1.0328
1.000,tof,1.0402
1.000,tof,1.0388
1.000,tof,1.0271
1.000,tof,1.0462
1.000,tof,1.0318
1.000,tof,1.0396
1.000,tof,1.0399
1.000,tof,1.0361
1.000,tof,1.0385
1.000,tof,1.0444
1.000,tof,1.0412
1.000,tof,1.0421
1.000,tof,1.0309
1.000,tof,1.0462
1.000,tof,1.0333
1.000,tof,1.0364
1.000,tof,1.0415
1.000,tof,1.0390
1.000,tof,1.0460
1.000,tof,1.0352
1.000,tof,1.0384
1.000,tof,1.0311
1.000,tof,1.0311
1.000,tof,1.0420
1.000,tof,1.0512
1.000,tof,1.0434
1.000,tof,1.0505
1.000,tof,1.0424
1.000,tof,1.0348
1.000,tof,1.0492
1.000,tof,1.0339
1.000,tof,1.0333
1.000,tof,1.0339
1.000,tof,1.0349
1.000,tof,1.0367
1.000,tof,1.0467
1.000,tof,1.0355
1.000,tof,1.0466
1.000,tof,1.0384
1.000,tof,2.0729
1.000,tof,1.0303
1.000,tof,1.0295
1.000,tof,1.0404
1.000,tof,1.0364
1.000,tof,1.0387
1.000,tof,1.0406
1.000,tof,1.0381
1.000,tof,1.0392
1.000,tof,1.0361
1.000,tof,1.0436
1.000,tof,1.0352
1.000,tof,1.0407
1.000,tof,1.0373
1.000,tof,1.0398
1.000,tof,1.0336
1.000,tof,1.0455
1.000,tof,1.0408
1.000,tof,1.0454
1.000,tof,1.0378
1.000,tof,1.0380
1.000,tof,1.0407
1.000,tof,1.0326
1.000,tof,1.0420
1.000,tof,1.0511
1.000,tof,1.0404
1.000,tof,1.0341
1.000,tof,1.0394
1.000,tof,1.0366
1.000,tof,1.0387
1.000,tof,1.0397
1.000,tof,1.0304
1.000,tof,1.0384
1.000,tof,1.0408
1.000,tof,1.0377
1.000,tof,1.0449
1.000,tof,1.0368
1.000,tof,1.0416
1.000,tof,1.0418
1.000,tof,1.0400
1.000,tof,1.0398
1.000,tof,1.0425
1.000,tof,1.0431
1.000,tof,1.0429
1.000,tof,1.0468
1.000,tof,1.0470
1.000,tof,1.0342
1.000,tof,1.0435
1.000,tof,1.0361
1.000,tof,1.0407
1.000,tof,1.0466
1.000,tof,1.0258
1.000,tof,1.0411
1.000,tof,1.0397
1.000,tof,1.0354
1.000,tof,3.0679
1.000,tof,1.0362
1.000,tof,1.0426
1.000,tof,1.0427
1.000,tof,1.0339
1.000,tof,1.0404
1.000,tof,1.0504
1.000,tof,1.0367
1.000,tof,1.0425
1.000,tof,1.0358
1.000,tof,1.0415
1.000,tof,1.0447
1.000,tof,1.0362
1.000,tof,1.0460
1.000,tof,1.0395
1.000,tof,1.0368
1.000,tof,1.0492
1.000,tof,1.0327
1.000,tof,1.0344
1.000,tof,1.0471
1.000,tof,1.0506
1.000,tof,1.0378
1.000,tof,1.0492
1.000,tof,1.0416
1.000,tof,1.0406
1.000,tof,1.0351
1.000,tof,1.0351
1.000,tof,1.0371
1.000,tof,1.0368
1.000,tof,1.0437
1.000,tof,1.0438
1.000,tof,1.0381
1.000,tof,1.0378
1.000,tof,1.0536
1.000,tof,1.0322
1.000,tof,1.0392
1.000,tof,1.0390
1.000,tof,1.0436
1.000,tof,1.0391
1.000,tof,1.0368
1.000,tof,1.0364
1.000,tof,1.0330
1.000,tof,1.6383
1.000,tof,1.0517
1.000,tof,
1.000,tof,1.0374
1.000,tof,2.8085
1.500,tof,1.5432
1.500,tof,1.5487
1.500,tof,1.5458
1.500,tof,1.5493
1.500,tof,1.5602
1.500,tof,1.5612
1.500,tof,1.5615
1.500,tof,1.5585
1.500,tof,1.5515
1.500,tof,1.5571
1.500,tof,1.5574
1.500,tof,1.5517
1.500,tof,1.5506
1.500,tof,1.5583
1.500,tof,1.5585
1.500,tof,0.1560
1.500,tof,1.5685
1.500,tof,1.5647
1.500,tof,1.5620
1.500,tof,1.5527
1.500,tof,1.5572
1.500,tof,1.5442
1.500,tof,1.5557
1.500,tof,1.5413
1.500,tof,1.5557
1.500,tof,1.5613
1.500,tof,1.5491
1.500,tof,1.5516
1.500,tof,1.5528
1.500,tof,
1.500,tof,1.5448
1.500,tof,1.5478
1.500,tof,1.5498
1.500,tof,1.5523
1.500,tof,1.5459
1.500,tof,1.5460
1.500,tof,1.5561
1.500,tof,1.5426
1.500,tof,1.5535
1.500,tof,2.5114
1.500,tof,0.7596
1.500,tof,1.5543
1.500,tof,1.5407
1.500,tof,1.5532
1.500,tof,1.5514
1.500,tof,1.5452
1.500,tof,1.5590
1.500,tof,1.5525
1.500,tof,1.5686
1.500,tof,1.5539
1.500,tof,1.5438
1.500,tof,1.5423
1.500,tof,1.8980
1.500,tof,1.5513
1.500,tof,1.5542
1.500,tof,1.5411
1.500,tof,1.5493
1.500,tof,1.5634
1.500,tof,1.5617
1.500,tof,1.5521
1.500,tof,1.5604
1.500,tof,1.5554
1.500,tof,1.5531
1.500,tof,1.5458
1.500,tof,1.5407
1.500,tof,1.5610
1.500,tof,1.5566
1.500,tof,0.9597
1.500,tof,1.5611
1.500,tof,1.5541
1.500,tof,1.5476
1.500,tof,1.5467
1.500,tof,1.5530
1.500,tof,1.5644
1.500,tof,1.5578
1.500,tof,1.5502
1.500,tof,1.5496
1.500,tof,1.5499
1.500,tof,1.5470
1.500,tof,1.5559
1.500,tof,1.5600
1.500,tof,1.5545
1.500,tof,1.5460
1.500,tof,1.5560
1.500,tof,1.5527
1.500,tof,1.5513
1.500,tof,1.5546
1.500,tof,1.5525
1.500,tof,2.8900
1.500,tof,1.7891
1.500,tof,1.5527
1.500,tof,1.5471
1.500,tof,1.5509
1.500,tof,1.5491
1.500,tof,2.2747
1.500,tof,1.5482
1.500,tof,1.5560
1.500,tof,1.5594
1.500,tof,1.5574
1.500,tof,1.5585
1.500,tof,1.5509
1.500,tof,1.5479
1.500,tof,1.5483
1.500,tof,1.5490
1.500,tof,1.5528
1.500,tof,1.5546
1.500,tof,1.5409
1.500,tof,1.5552
1.500,tof,1.5534
1.500,tof,1.5539
1.500,tof,1.5501
1.500,tof,1.5518
1.500,tof,1.5443
1.500,tof,1.5528
1.500,tof,1.5485
1.500,tof,1.5415
1.500,tof,1.5590
1.500,tof,1.5461
1.500,tof,1.5506
1.500,tof,1.5506
1.500,tof,1.5566
1.500,tof,1.5546
1.500,tof,1.5456
1.500,tof,1.5511
1.500,tof,1.5508
1.500,tof,1.5472
1.500,tof,1.5534
1.500,tof,1.5573
1.500,tof,1.5502
1.500,tof,1.5551
1.500,tof,1.5414
1.500,tof,1.5488
1.500,tof,2.0985
1.500,tof,1.5411
1.500,tof,1.5495
1.500,tof,
1.500,tof,1.5440
1.500,tof,1.5580
1.500,tof,1.5489
1.500,tof,1.5539
1.500,tof,1.5566
1.500,tof,1.5493
1.500,tof,1.5430
1.500,tof,1.5537
1.500,tof,1.5462
1.500,tof,1.5530
1.500,tof,1.5510
1.500,tof,1.5606
1.500,tof,1.5601
1.500,tof,1.5399
2.000,tof,2.0633
2.000,tof,2.0594
2.000,tof,2.0861
2.000,tof,2.0617
2.000,tof,2.0563
2.000,tof,2.0590
2.000,tof,2.0683
2.000,tof,2.0628
2.000,tof,2.0678
2.000,tof,2.0671
2.000,tof,2.0662
2.000,tof,2.0548
2.000,tof,2.0553
2.000,tof,2.0707
2.000,tof,2.0547
2.000,tof,2.0584
2.000,tof,2.0710
2.000,tof,2.0584
2.000,tof,2.0636
2.000,tof,2.0742
2.000,tof,2.0598
2.000,tof,2.0608
2.000,tof,2.0588
2.000,tof,2.0714
2.000,tof,2.0611
2.000,tof,2.0764
2.000,tof,2.0753
2.000,tof,2.0625
2.000,tof,2.0693
2.000,tof,2.0588
2.000,tof,2.0540
2.000,tof,2.0732
2.000,tof,2.0723
2.000,tof,2.0631
2.000,tof,
2.000,tof,2.0663
2.000,tof,2.0636
2.000,tof,
2.000,tof,2.0796
2.000,tof,2.0749
2.000,tof,2.0613
2.000,tof,2.0808
2.000,tof,2.0610
2.000,tof,2.1026
2.000,tof,2.0705
2.000,tof,2.0562
2.000,tof,2.0698
2.000,tof,2.0638
2.000,tof,2.0599
2.000,tof,3.4838
2.000,tof,2.0576
2.000,tof,2.0544
2.000,tof,2.0584
2.000,tof,2.0554
2.000,tof,2.0539
2.000,tof,2.0640
2.000,tof,2.0660
2.000,tof,2.0710
2.000,tof,2.0628
2.000,tof,2.0557
2.000,tof,2.0713
2.000,tof,2.0651
2.000,tof,2.0770
2.000,tof,2.0664
2.000,tof,2.0637
2.000,tof,2.0716
2.000,tof,2.0638
2.000,tof,2.0677
2.000,tof,2.0745
2.000,tof,2.0534
2.000,tof,2.0576
2.000,tof,2.0642
2.000,tof,2.0663
2.000,tof,2.0745
2.000,tof,2.0667
2.000,tof,3.1674
2.000,tof,2.0630
2.000,tof,2.0624
2.000,tof,2.0562
2.000,tof,2.0657
2.000,tof,2.0539
2.000,tof,2.0728
2.000,tof,
2.000,tof,2.0691
2.000,tof,2.0746
2.000,tof,2.0617
2.000,tof,2.0697
2.000,tof,2.0658
2.000,tof,2.0664
2.000,tof,2.0674
2.000,tof,2.0706
2.000,tof,2.0631
2.000,tof,2.0682
2.000,tof,2.0666
2.000,tof,2.0666
2.000,tof,2.0605
2.000,tof,2.0701
2.000,tof,2.0709
2.000,tof,2.0646
2.000,tof,2.0731
2.000,tof,2.0660
2.000,tof,2.0669
2.000,tof,
2.000,tof,2.0616
2.000,tof,2.0663
2.000,tof,2.0678
2.000,tof,
2.000,tof,2.0604
2.000,tof,2.0762
2.000,tof,2.0588
2.000,tof,2.0727
2.000,tof,2.0690
2.000,tof,2.0706
2.000,tof,2.0776
2.000,tof,2.0772
2.000,tof,2.0733
2.000,tof,2.0662
2.000,tof,2.0611
2.000,tof,2.0686
2.000,tof,2.0679
2.000,tof,2.0609
2.000,tof,2.0750
2.000,tof,2.0654
2.000,tof,2.0644
2.000,tof,2.0612
2.000,tof,2.0776
2.000,tof,2.0707
2.000,tof,2.0597
2.000,tof,2.0650
2.000,tof,2.0544
2.000,tof,2.0681
2.000,tof,2.0685
2.000,tof,2.0692
2.000,tof,2.0624
2.000,tof,2.0517
2.000,tof,2.0675
2.000,tof,2.0658
2.000,tof,2.0499
2.000,tof,2.0562
2.000,tof,2.0808
2.000,tof,2.0752
2.000,tof,2.0679
2.000,tof,2.0804
2.000,tof,2.0638
2.000,tof,2.0569
2.000,tof,2.0695
2.000,tof,2.0669
2.000,tof,2.0652
2.000,tof,2.0626
2.000,tof,2.0715
3.000,tof,3.0849
3.000,tof,3.0966
3.000,tof,3.0782
3.000,tof,3.0958
3.000,tof,3.0930
3.000,tof,3.0834
3.000,tof,3.0888
3.000,tof,3.0826
3.000,tof,3.0956
3.000,tof,3.0894
3.000,tof,3.0830
3.000,tof,3.0964
3.000,tof,3.0830
3.000,tof,3.0916
3.000,tof,3.0911
3.000,tof,3.0855
3.000,tof,3.1055
3.000,tof,3.0896
3.000,tof,3.0905
3.000,tof,3.0885
3.000,tof,3.0760
3.000,tof,3.0867
3.000,tof,3.0851
3.000,tof,3.0855
3.000,tof,3.0782
3.000,tof,3.0837
3.000,tof,3.0872
3.000,tof,3.0791
3.000,tof,3.1062
3.000,tof,3.0824
3.000,tof,0.7944
3.000,tof,3.0913
3.000,tof,3.0788
3.000,tof,3.0856
3.000,tof,3.0925
3.000,tof,3.0817
3.000,tof,3.0794
3.000,tof,3.0970
3.000,tof,3.1008
3.000,tof,3.0953
3.000,tof,3.0868
3.000,tof,3.1064
3.000,tof,3.0784
3.000,tof,3.0896
3.000,tof,3.0771
3.000,tof,3.0873
3.000,tof,3.0776
3.000,tof,3.0961
3.000,tof,3.1049
3.000,tof,3.0898
3.000,tof,3.0865
3.000,tof,3.0837
3.000,tof,3.1068
3.000,tof,3.0928
3.000,tof,3.1055
3.000,tof,3.0875
3.000,tof,3.0945
3.000,tof,3.0974
3.000,tof,3.0794
3.000,tof,3.0961
3.000,tof,3.0994
3.000,tof,3.1082
3.000,tof,3.0720
3.000,tof,3.0985
3.000,tof,2.4839
3.000,tof,3.1024
3.000,tof,3.0860
3.000,tof,3.1010
3.000,tof,3.0970
3.000,tof,3.0879
3.000,tof,3.0810
3.000,tof,3.1095
3.000,tof,3.0927
3.000,tof,3.1115
3.000,tof,3.0962
3.000,tof,3.0921
3.000,tof,3.0789
3.000,tof,3.0885
3.000,tof,3.0956
3.000,tof,3.1073
3.000,tof,3.0828
3.000,tof,3.1142
3.000,tof,3.0926
3.000,tof,3.0967
3.000,tof,3.0831
3.000,tof,3.0785
3.000,tof,3.0924
3.000,tof,3.0762
3.000,tof,3.1033
3.000,tof,3.0825
3.000,tof,3.0868
3.000,tof,3.0872
3.000,tof,3.4539
3.000,tof,3.0894
3.000,tof,3.0747
3.000,tof,3.0913
3.000,tof,3.0935
3.000,tof,3.0903
3.000,tof,3.1014
3.000,tof,3.0851
3.000,tof,3.1057
3.000,tof,3.0922
3.000,tof,3.0874
3.000,tof,3.1077
3.000,tof,3.0918
3.000,tof,
3.000,tof,3.0778
3.000,tof,3.0924
3.000,tof,3.0911
3.000,tof,3.0891
3.000,tof,3.1002
3.000,tof,3.0887
3.000,tof,3.0828
3.000,tof,3.0931
3.000,tof,3.0904
3.000,tof,3.0963
3.000,tof,3.0971
3.000,tof,3.0739
3.000,tof,3.0781
3.000,tof,3.0999
3.000,tof,3.0975
3.000,tof,3.0861
3.000,tof,3.0985
3.000,tof,3.0852
3.000,tof,3.0797
3.000,tof,3.1013
3.000,tof,3.0934
3.000,tof,3.0883
3.000,tof,
3.000,tof,3.0791
3.000,tof,3.0813
3.000,tof,3.0849
3.000,tof,3.9976
3.000,tof,3.0979
3.000,tof,3.0948
3.000,tof,3.0878
3.000,tof,3.0960
3.000,tof,3.1018
3.000,tof,3.0850
3.000,tof,3.0969
3.000,tof,3.0918
3.000,tof,3.0964
3.000,tof,3.0758
3.000,tof,3.0890
3.000,tof,3.1005
3.000,tof,3.1044
3.000,tof,3.1016
3.000,tof,3.0860
3.000,tof,3.0953
3.000,tof,3.0699
